Car unique id,first online date,car sold on date,manufacturer,model,fuel_type,buy price,last available online price,External market reference price
1234768090,2024-10-17,2024-11-18,Volkswagen,T6 Multivan,Diesel,35031,43688,43895
1258374660,2024-11-26,,MINI,MINI,Benzin,11504,16623,15321
1272940076,2024-10-01,2024-12-07,Mitsubishi,Eclipse Cross,Benzin,13899,18422,17831
1275633463,2024-09-20,2024-11-05,Ford,Fiesta,Benzin,8522,13727,13294
1248774080,2024-11-05,,BMW,X1,Benzin,11564,16594,16781
1281970904,2024-10-23,2025-01-09,Volkswagen,Golf VII Sportsvan,Benzin,11355,15998,16100
1264815056,2024-11-13,2024-12-06,Dacia,Sandero,Benzin,8855,13709,14956
1272677082,2024-10-18,2024-12-10,Seat,Ibiza,Benzin,10024,11265,11826
1283265418,2024-11-26,,MINI,MINI,Benzin,8894,14655,16020
1278123756,2024-10-11,2024-12-12,Skoda,Rapid Spaceback,Benzin,,12623,14067
1278387172,2024-09-18,2024-11-28,Opel,Mokka,Benzin,8368,13372,14021
1279481305,2024-10-24,2024-10-29,Volkswagen,T-Cross,Benzin,12911,19737,20430
1279969840,2024-10-07,2024-11-26,BMW,3er,Diesel,19285,22995,23601
1280126127,2024-11-14,2024-11-26,Toyota,Yaris,Benzin,11815,14259,16263
1280143414,2024-12-12,,Volkswagen,Golf VII Sportsvan,Benzin,7172,10638,10191
1280162880,2024-09-26,,Ford,Grand C-Max,Benzin,7102,10780,10807
1278764435,2024-12-21,,Audi,A3,Hybrid,25419,29014,31063
1280864289,2024-10-28,2024-11-11,Renault,Megane,Benzin,10457,16196,17438
1279504442,2024-09-12,,BMW,4er,Benzin,14492,21586,
1281005787,2024-11-05,,Opel,Mokka X,Benzin,8677,12890,13092
1281991434,2024-11-15,,Volkswagen,Golf VII,Benzin,8341,11024,12734
1278860130,2024-10-14,2025-01-06,Seat,Ibiza,Benzin,10650,13378,13137
1280638400,2024-10-14,,Fiat,500C,Benzin,4570,9902,8773
1282028668,2024-11-01,2024-12-23,Volkswagen,Golf VII,Diesel,12767,18876,19331
1279301591,2024-11-29,,Seat,Ibiza,Benzin,8833,14079,12687
1279956782,2024-11-05,,Seat,Ibiza,Benzin,8377,12529,10806
1280106862,2024-10-25,,Volkswagen,up!,Benzin,6284,8147,7709
1281768645,2024-12-18,,Opel,Astra,Benzin,9239,11417,11454
1282265734,2024-12-09,2024-12-11,Hyundai,i20,Benzin,7907,14839,14163
1280391577,2024-11-19,,Seat,Leon,Benzin,16735,22654,24225
1280731433,2024-12-05,,BMW,2er,Benzin,11658,16144,15572
1280182415,2024-09-24,2024-12-16,Volkswagen,Golf VII,Benzin,19242,21336,20869
1284295015,2024-12-19,,Volkswagen,Golf VII,Benzin,8478,14330,14571
1284618205,2024-12-13,2024-12-16,Mazda,CX-5,Benzin,25481,31520,32302
1281000154,2024-10-17,2024-11-14,Skoda,Octavia,Diesel,11377,16337,15382
1284570591,2025-01-08,,Opel,Grandland X,Benzin,9844,13524,12165
1277924797,2024-09-13,2024-12-09,Skoda,Karoq,Diesel,18134,18559,18328
1281268346,2024-10-15,,Citroen,C1,Benzin,6835,8916,7785
1281249671,2024-10-18,2024-10-24,Mercedes-Benz,E-Klasse,Benzin,21353,29309,29379
1267318813,2024-11-06,2024-11-07,Mercedes-Benz,GLC-Klasse,Benzin,26892,33601,33850
1277802092,2024-09-19,2024-10-08,Volkswagen,Passat,Diesel,14966,21250,20980
1282104640,2024-11-19,,Volkswagen,T-Roc,Diesel,15303,19499,19516
1282067571,2024-12-03,,Mercedes-Benz,CLA-Klasse,Benzin,12819,21072,19321
1279093485,2024-10-02,2024-11-20,Mercedes-Benz,GLC-Klasse,Diesel,21078,27515,28315
